setting;;;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
$\beta_{IC_{ji}}$; ;Automobile;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
$\beta_{IC_{ji}}$; ;Load_PipeTransp;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
$\beta_{IC_{ji}}$; ;PassTransp;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
$\beta_{IC_{ji}}$; ;Agri_Food_industry;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
$\beta_{IC_{ji}}$; ;Property_business;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
$\beta_{IC_{ji}}$; ;OthSectors;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
$\phi{IC_{ji}}$; ;Crude_oil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$\phi{IC_{ji}}$; ;Natural_gas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$\phi{IC_{ji}}$; ;Coal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$\phi{IC_{ji}}$; ;AllFuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$\phi{IC_{ji}}$; ;Electricity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$\phi{IC_{ji}}$; ;HeatGeoSol_Th;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$\phi{IC_{ji}}$; ;Heavy_Industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$\phi{IC_{ji}}$; ;Buildings_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$\phi{IC_{ji}}$; ;Work_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$\phi{IC_{ji}}$; ;Automobile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$\phi{IC_{ji}}$; ;Load_PipeTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$\phi{IC_{ji}}$; ;PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$\phi{IC_{ji}}$; ;Agri_Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$\phi{IC_{ji}}$; ;Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$\phi{IC_{ji}}$; ;OthSectors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$\beta_{K_{i}}$; ; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
$\phi_{K_{i}}$; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$\beta_{L_{i}}$; ; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
$\phi_{L_{i}}$; ; ;0.0121422;0.0121422;0.0121422;0.0121422;0.0121422;0.0121422;0.0121422;0.0121422;0.0121422;0.0121422;0.0121422;0.0121422;0.0121422;0.0121422;0.0121422
$\beta_{i_h}$;;Households;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$\delta_{C_{i_h}}$; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$\sigma$; ; ;2;2;2;2;2;2;0.22;0.17;0.17;0.1800000;0.14;0.14;1.0700001;0.31;0.13
$\sigma_{M_{p_{i}}}$; ; ;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1
$\delta_{M_{i}}$; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
$\delta_{p_{M_{i}}}$; ; ;0.1192676;0.0652741;-0.0087283;0.1023003;0.0556199;0.0556199;0;0;0;0;0;0;0;0;0
$\sigma_{X_{p_{i}}}$; ; ;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1
$\delta_{X_{i}}$; ; ;0;0;0;0;0;0;0.0211186;0.0211186;0.0211186;0.0211186;0.0211186;0.0211186;0.0211186;0.0211186;0.0211186
$\sigma_{CP_i}$;;Households;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-----;;;;;;;;;;;;;;;;;
Not applied to sectoral decomposition;;;;;;;;;;;;;;;;;
$\sigma_{CR_i}$;;Households;0;;;;;;;;;;;;;;
$Mu$; ; ;0.0121422;;;;;;;;;;;;;;
$\sigma_{w_u}$; ; ;-0.1192022;;;;;;;;;;;;;;
$\beta_{w_{CPI}}$; ; ;0.8242216;;;;;;;;;;;;;;
$\u_{param}$; ; ;0.1009550;;;;;;;;;;;;;;
$t_{BY}$; ; ;2;;;;;;;;;;;;;;
$t_{ini}$; ; ;2;;;;;;;;;;;;;;
$Population$;Thousands of people;Thousands of people;67187;;;;;;;;;;;;;;
$Labour_force$;Thousands of people;Thousands of people;29592.561;;;;;;;;;;;;;;
$Retired$;Thousands of people;Thousands of people;17834.355;;;;;;;;;;;;;;
