Aggregation_type;-;-;-;-;-;AGG_MetMin;AGG_IndEner;AGG_MetMinEn;AGG_Ener1;AGG_Ener2;AGG_4Sec;AGG_3Sec;AGG_EnComp
Row;Buildings_constr;Commodities;NonEnerSect;NonHybridCommod;-;Buildings_constr;OthIndus;OthIndus;Buildings_constr;Buildings_constr;AllIndus;AllComp;AllComp
Row;ChemicalPharma;Commodities;NonEnerSect;NonHybridCommod;-;ChemicalPharma;OthIndus;OthIndus;ChemicalPharma;ChemicalPharma;AllIndus;AllComp;AllComp
Row;Paper;Commodities;NonEnerSect;NonHybridCommod;-;Paper;OthIndus;OthIndus;Paper;Paper;AllIndus;AllComp;AllComp
Row;Mining;Commodities;NonEnerSect;NonHybridCommod;-;Mining;OthIndus;OthIndus;Mining;Mining;AllIndus;AllComp;AllComp
Row;TranspEquipment;Commodities;NonEnerSect;NonHybridCommod;-;TranspEquipment;OthIndus;OthIndus;TranspEquipment;TranspEquipment;AllIndus;AllComp;AllComp
Row;Transport_serv;Commodities;NonEnerSect;NonHybridCommod;-;Transport_serv;OthIndus;OthIndus;Transport_serv;Transport_serv;AllIndus;AllComp;AllComp
Row;Agri_Forestry;Commodities;NonEnerSect;NonHybridCommod;-;Agri_Forestry;Agriculture;Agriculture;Agriculture;Agriculture;AllIndus;AllComp;AllComp
Row;Fishing;Commodities;NonEnerSect;NonHybridCommod;-;Fishing;Agriculture;Agriculture;Agriculture;Agriculture;AllIndus;AllComp;AllComp
Row;Food_industry;Commodities;NonEnerSect;NonHybridCommod;-;Food_industry;OthIndus;OthIndus;Food_industry;Food_industry;AllIndus;AllComp;AllComp
Row;Composite;Commodities;NonEnerSect;NonHybridCommod;-;Composite;Composite;Composite;Composite;Composite;Composite;AllComp;AllComp
Row;Labour_income;OthPart_IOT;Value_Added;-;-;-;-;-;-;-;-;-;-
Row;Labour_Tax;OthPart_IOT;Value_Added;-;-;-;-;-;-;-;-;-;-
Row;Capital_income;OthPart_IOT;Value_Added;-;-;-;-;-;-;-;-;-;-
Row;Production_Tax;OthPart_IOT;Value_Added;-;-;-;-;-;-;-;-;-;-
Row;Profit_margin;OthPart_IOT;Value_Added;-;-;-;-;-;-;-;-;-;-
Row;M_value;OthPart_IOT;-;-;-;-;-;-;-;-;-;-;-
Row;Trade_margins;OthPart_IOT;Margins;-;-;-;-;-;-;-;-;-;-
Row;Transp_margins;OthPart_IOT;Margins;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Crude_oil;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Natural_gas;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Coking_coal;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Bituminous_coal;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Coke;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Other_coal;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Gasoline;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_LPG;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Jetfuel;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Fuel;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Fuel_oil;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Heavy_fuel_oil;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Other_fuel_prod;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Electricty;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_HeatGeoSol_Th;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Steel_Iron;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_NonFerrousMetals;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Cement;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_OthMin;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Buildings_constr;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_ChemicalPharma;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Paper;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Mining;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_TranspEquipment;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Transport_serv;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Agri_Forestry;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Fishing;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Food_industry;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Composite;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_C;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_G;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_I;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_X;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-;-;-;-;-;-;-;-
Row;VA_Tax;OthPart_IOT;Taxes;-;-;-;-;-;-;-;-;-;-
Row;Energy_Tax_IC;OthPart_IOT;Taxes;-;-;-;-;-;-;-;-;-;-
Row;Energy_Tax_FC;OthPart_IOT;Taxes;-;-;-;-;-;-;-;-;-;-
Row;ClimPolCompensbySect;OthPart_IOT;Taxes;-;-;-;-;-;-;-;-;-;-
Row;OtherIndirTax;OthPart_IOT;Taxes;-;-;-;-;-;-;-;-;-;-
Column;Crude_oil;Sectors;NonSupplierSect;-;-;-;-;-;-;-;-;-;-
Column;Natural_gas;Sectors;NonSupplierSect;-;-;-;-;-;-;-;-;-;-
Column;Coking_coal;Sectors;NonSupplierSect;-;-;-;-;-;-;-;-;-;-
Column;Bituminous_coal;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;Coke;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;Other_coal;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;Gasoline;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;LPG;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;Jetfuel;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;Fuel;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;Fuel_oil;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;Heavy_fuel_oil;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;Other_fuel_prod;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;Electricty;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;HeatGeoSol_Th;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;Steel_Iron;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;NonFerrousMetals;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;Cement;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;OthMin;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;Buildings_constr;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;ChemicalPharma;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;Paper;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;Mining;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;TranspEquipment;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;Transport_serv;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;Agri_Forestry;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;Fishing;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;Food_industry;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;Composite;Sectors;-;-;-;-;-;-;-;-;-;-;-
Column;C;FC;-;-;-;-;-;-;-;-;-;-;-
Column;G;FC;-;-;-;-;-;-;-;-;-;-;-
Column;I;FC;-;-;-;-;-;-;-;-;-;-;-
Column;X;FC;-;-;-;-;-;-;-;-;-;-;-
