Variables;Functions ;Data;;Other variables needed for calculation 
;;;;Carbon_Tax_rate_IC
X;X_value_Const_1;X_value;;pX_NonHybrid
;;X_Hybrid;;pX_Hybrid
;;X_NonHybrid;;
pX;pX_price_Const_1;pX_NonHybrid;;p
;;SpeMarg_rates_X;;Transp_margins_rates
;;;;Trade_margins_rates
pI;pI_price_Const_1;;;p
;;;;Transp_margins_rates
;;;;Trade_margins_rates
;;;;SpeMarg_rates_I
;;;;OtherIndirTax_rate
;;;;VA_Tax_rate
pG;pG_price_Const_1;;;p
;;;;Transp_margins_rates
;;;;Trade_margins_rates
;;;;OtherIndirTax_rate
;;;;Energy_Tax_rate_FC
;;;;VA_Tax_rate
Energy_Tax_rate_FC;Energy_Tax_FC_Const_1;Energy_Tax_FC;;
;;C_Hybrid;;
OtherIndirTax_rate;OtherIndirTax_Const_1;OtherIndirTax;;alpha
;;;;Y
;;;;C
;;;;G
;;;;I
VA_Tax_rate;VA_Tax_Const_1;VA_Tax;;pC
;;;;C
;;;;pG
;;;;G
;;;;pI
;;;;I
Energy_Tax_rate_IC;Energy_Tax_IC_Const_1;Energy_Tax_IC;;alpha
;;;;Y
Carbon_Tax_IC;Carbon_Tax_IC_Const_1;Y_Hybrid;Emission_Coef_IC;alpha
;;;;Y_NonHybrid
;;;;Carbon_Tax_rate_IC
Carbon_Tax_C;Carbon_Tax_C_Const_1;C_Hybrid;Emission_Coef_C;Carbon_Tax_rate_C
;;;;C_NonHybrid
Corp_disposable_income;Corp_income_Const_1;GOS_byAgent;;
;;Other_Transfers;;
;;Corporations_NetDebt;;
;;Corporate_Tax;;
Corporations_savings;Corp_savings_Const_1;;;Corp_disposable_income
Corp_invest_propensity;Corp_investment_Const_1;GFCF_byAgent;;Corp_disposable_income
G_disposable_income;G_income_Const_1;Income_Tax;;
;;Other_Direct_Tax;;
;;Corporate_Tax;;
;;Production_Tax;;
;;Labour_Tax;;
;;OtherIndirTax;;
;;VA_Tax;;
;;Energy_Tax_IC;;
;;Carbon_Tax_IC;;
;;Energy_Tax_FC;;
;;Carbon_Tax_C;;
;;GOS_byAgent;;
;;Other_Transfers;;
;;NetFinancialDebt;;
;;Pensions;;
;;Unemployment_transfers;;
;;Other_social_transfers;;
;;ClimPolicyCompens;;
;;S_ClimatePolicy_Compens;;
Income_Tax_rate;Income_Tax_Const_1;Income_Tax;;H_disposable_income
;;Other_Direct_Tax;;
Other_Direct_Tax;Other_Direct_Tax_Const_1;Other_Direct_Tax;;CPI
CPI;CPI_Const_1;C_Hybrid;;pC_NonHybrid
;;;;C_NonHybrid
;;;;pC_ref
;;;;C_ref
;;;;pC_Hybrid
Corporate_Tax_rate;Corporate_Tax_Const_1;Corporate_Tax;;
;;GOS_byAgent;;
Production_Tax_rate;Production_Tax_Const_1;Production_Tax;;p
;;;;Y
Labour_Tax_rate;Labour_Tax_Const_1;Labour_Tax;;w
;;;;lambda
;;;;Y
lambda;Employment_Const_1;Labour;;Y
;;;;
w;Labour_income_Const_1;Labour_income;;
;;Labour;;
CarbonTax_Diff_IC;CTax_rate_IC_Const_1;;Carbon_Tax_rate;Carbon_Tax_rate_IC
CarbonTax_Diff_C;CTax_rate_FC_Const_1;;Carbon_Tax_rate;Carbon_Tax_rate_C
Labour_Tax_Cut;Labour_Taxe_rate_Const_1;;;Labour_Tax_rate
;;;;Labour_Tax_rate_parameter
Government_savings;G_savings_Const_1;;;G_disposable_income
;;;;G_Consumption_budget
G_ConsumpToGDP_ratio;G_ConsumpBudget_Const_1;;;GDP
;;;;G_Consumption_budget
G_Consumption_budget;G_BudgetBalance_Const_1;;;G
;;;;pG
BudgetShare_GConsump;G_demand_Const_1;;;G_Consumption_budget
;;;;G
;;;;pG
G_invest_propensity;G_investment_Const_1;GFCF_byAgent;;G_disposable_income
Government_closure;Public_finance_Const_1;;;
GDP;GDP_Const_1;Labour_income;;GrossOpSurplus
;;Production_Tax;;
;;Labour_Tax;;
;;OtherIndirTax;;
;;VA_Tax;;
;;Energy_Tax_IC;;
;;Carbon_Tax_IC;;
;;Energy_Tax_FC;;
;;Carbon_Tax_C;;
GrossOpSurplus;GrossOpSurplus_Const_1;Capital_income;;
;;Profit_margin;;
;;Trade_margins;;
;;Transp_margins;;
;;SpeMarg_IC;;
;;SpeMarg_C;;
;;SpeMarg_I;;
Phi;TechnicProgress_Const_1;sigma_Phi;;Capital_consumption_ref
;;;;Capital_consumption
Theta;DecreasingReturn_Const_1;Y_Hybrid;sigma_Theta;Y_NonHybrid
;;;;Y_ref
aIC;Technical_Coef_Val_1;ConstrainedShare_IC;sigma;alpha
aL;;ConstrainedShare_Labour;;lambda
aK;;ConstrainedShare_Capital;;kappa
;;;;pIC
;;;;pL
;;;;pK
;;;;Theta
;;;;Phi
;;;;alpha_ref
;;;;lambda_ref
;;;;kappa_ref
Pension_Benefits_param;Pension_Benefits_Const_1;Pension_Benefits;NetWage_variation;
UnemployBenefits_param;UnemployBenefits_Const_1;UnemployBenefits;NetWage_variation;
Other_SocioBenef_param;Other_SocioBenef_Const_1;Other_SocioBenef;NetWage_variation;
;;;;
markup_rate;Profit_income_Const_1;Profit_margin;;Y
;;pY;;
kappa;Capital_income_Const_1;Capital_income;;pK
;;;;Y
Capital_consumption;Capital_Consump_Const_1;;;Y
;;;;kappa
pL;Labour_Cost_Const_1;;;w
;;;;Labour_Tax_rate
Betta;Invest_demand_Const_1;;;Y
;;;;kappa
;;;;
;;;;
delta_interest_rate;interest_rate_Const_1;interest_rate_ref;;interest_rate
;DistributShares_Const_1;Labour_force_ref;;Labour_force
;;Distribution_Shares;;
;;Distribution_Shares_ref;;
Distribution_Shares (Labour Income);LabourShared_Const_1;Labour_income_sharing;;
;;Labour_income;;
Distribution_Shares (Non Labour Income);NonLabourShared_Const_1;Non_labour_income_sharing;;
;;GrossOpSurplus;;
Distribution_Shares;OtherTransfers_Const_1;Other_transfers;;
pK;Capital_Cost_Const_1;;;pI
;;;;pI
;;;;I
;;;;
(SpeMarg_rates_C);;;;
(Y_value);;;;
(SpeMarg_rates_IC);;;;
;;;;
SpeMarg_rates_IC;SpeMarg_Const_1;SpeMarg_IC;;alpha
SpeMarg_rates_C;;SpeMarg_C;;p
 SpeMarg_rates_X;;SpeMarg_X;;Y
SpeMarg_rates_I;;SpeMarg_I;;C
;;;;X
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
C (Non Energy);C_value_constraint_1;C_value (Non Energy);;pC (Non Energy)
;;;;
;;;;
;;;;
SpeMarg_rates_X;SpeMarg_constraint_1;SpeMarg_X;;p
;;X (Energy);;
SpeMarg_rates_C;SpeMarg_constraint_1;SpeMarg_C;;p
;;C (Energy);;
Carbon_Tax_rate_C;Carbon_Tax_FC_constraint_1;Carbon_Tax_C;;
;;Emission_Coef_C;;  
;;C (Energy);;
;;;;
Emission_Coef_C;CO2_intensity_C;C;;CO2Emis_C
Emission_Coef_IC;CO2_intensity_IC;IC;;CO2Emis_IC
;;;;
;;;;
;;;;
;;;;
;;;;
NetFinancialDebt_ref;Household_NetDebt_constraint_1;Household_NetDebt;;NetLending_ref
;;time_period;;
;;NetLending;;
NetLending_ref;Egalit‚;NetLending;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Corporations_NetLending_ref;Egalit‚;Corporations_NetLending;;
;;;;
;;;;
;;;;
Unemployment_Benefits_ref;Egalit‚ ;Unemployment_Benefits;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Budget_Share_Public_Consumption;Government_demand_constraint_1;;;pG
;;;;G
;;;;Public_Consumption_budget
Government_investment_propensity;Government_investment_constraint_1;GFCF_byAgent;;Government_disposable_income
Government_savings;Government_NetLending_constraint_1;Government_NetLending;;
;;GFCF_byAgent;;
NetFinancialDebt_ref;Government_NetDebt_constraint_1;NetFinancialDebt;;Government_NetLending_ref
;;time_period;;
;;Government_NetLending;;
Government_NetLending_ref;Egalit‚;Government_NetLending;;
Government_closure;Public_finance_constraint_1;;;
Income_Tax_rate_ref;Government_closure_constraint_1;;;Income_Tax_rate
Other_Direct_Tax_ref;;;;Other_Direct_Tax_parameter
Corporate_Tax_rate_ref;;;;Corporate_Tax_rate
Production_Tax_rate_ref;;;;Production_Tax_rate
Labour_Tax_rate_ref;;;;Labour_Tax_rate
Energy_Tax_rate_IC_ref;;;;Energy_Tax_rate_IC
Energy_Tax_rate_FC_ref;;;;Energy_Tax_rate_FC
Carbon_tax_rate_ref;;;;Carbon_tax_rate
Pension_Benefits_parameter;;;;Pension_Benefits_parameter
Unemployment_Benefits_ref;;;;Unemployment_Benefits_parameter
Other_Social_Benefits_ref;;;;Other_Social_Benefits_parameter
Household_Climate_Policy_ref;;;;Household_Climate_Policy_Compensation
Sector_Climate_Policy_Compensation_ref;;;;Sector_Climate_Policy_Compensation
Government_saving_rate_ref;;;;Government_saving_rate
Government_consumption_toGDP_ratio_ref;;;;Government_consumption_toGDP_ratio
Budget_Share_Public_Consumption_ref;;;;Budget_Share_Public_Consumption
Government_investment_propensity_ref;;;;Government_investment_propensity
Capital_consumption_ref;Egalit‚;Capital_consumption;;
;;;;
;;;;
Y_ref ;Egalit‚;Y (Energy);;Y (Non Energy)
alpha_ref;Egalit‚;;;alpha
lambda_ref;Egalit‚;;;lambda
kappa_ref;Egalit‚;;;kappa
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Transp_margins_rates_ref;Transp_MargRates_Const_1;Transp_margins;;Transp_margins_rates
Trade_margins_rates_ref;Trade_MargRates_Const_1;Trade_margins;;Trade_margins_rates
;;;;
;;;;
;;;;
SpeMarg_rates_IC;SpeMarg_constraint_1;SpeMarg_IC;;p
;;Y (Energy);;alpha
;;;;Y (Non Energy)
kappa_ref;Investment_demand_constraint_1;I_ref;;kappa
;;Y (Energy);;Y (Non Energy)
;;;;I
;;;;Y_ref
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
M_ref;Egalit‚;M (Energy);;M (Non energy)
Y_ref;Egalit‚;Y (Energy);;Y (Non Energy)
pM_ref;Egalit‚;pM (Energy);;pM (Non Energy)
pY_ref;Egalit‚;pY;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
X_ref;Egalit‚;X (Energy);;X (Non energy)
pX_ref;Egalit‚;pX (Energy);;pX (Non Energy)
;;;;
;;;;
delta_pM;Import_price_Const_1;pM;;pM_ref
pM_ref;Egalit‚;;;pM
