Aggregation_type;-;-;-;-;-;-;AGG_EnComp;AGG_PMR19;AGG_BIICS19
Column;Chemical;Sectors;-;-;-;-;-;-;-
Column;BovineMeat;Sectors;-;-;-;-;-;-;-
Column;RestFoodBeve;Sectors;-;-;-;-;-;-;-
Column;Textiles;Sectors;-;-;-;-;-;-;-
Column;PaperPulp;Sectors;-;-;-;-;-;-;-
Column;Ceramics;Sectors;-;-;-;-;-;-;-
Column;Construction;Sectors;-;-;-;-;-;-;-
Column;OthIndustry;Sectors;-;-;-;-;-;-;-
Column;FreightRoad;Sectors;-;-;-;-;-;-;-
Column;FreightRail;Sectors;-;-;-;-;-;-;-
Column;FreightAir;Sectors;-;-;-;-;-;-;-
Column;FreightWater;Sectors;-;-;-;-;-;-;-
Column;PassRoad;Sectors;-;-;-;-;-;-;-
Column;PassRail;Sectors;-;-;-;-;-;-;-
Column;PassAir;Sectors;-;-;-;-;-;-;-
Column;PassWater;Sectors;-;-;-;-;-;-;-
Column;WaterSewage;Sectors;-;-;-;-;-;-;-
Column;Education;Sectors;-;-;-;-;-;-;-
Column;Health;Sectors;-;-;-;-;-;-;-
Column;Composite;Sectors;-;-;-;-;-;-;-
Column;C;FC;-;-;-;-;-;-;-
Column;G;FC;-;-;-;-;-;-;-
Column;I;FC;-;-;-;-;-;-;-
Column;X;FC;-;-;-;-;-;-;-
