Aggregation_type;-;-;-;-;-;AGG_4SecB;AGG_18TME;AGG_22TME;AGG_23TME;AGG_19TME
Row;OthMin;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;OthMin;OthMin;OthMin;OthMin
Row;Construction;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;Construction;Construction;Construction;Construction
Row;CivilEngineering;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;Construction;Construction;Construction;Construction
Row;ChemicalPharma;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;ChemicalPharma;ChemicalPharma;ChemicalPharma;ChemicalPharma
Row;Paper;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;Paper;Paper;Paper;Paper
Row;Mining;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;Compo;Compo;Compo;ManufacturedGoods
Row;Automobile;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;Auto_indus;Auto_indus;Auto_indus;Auto_indus
Row;OthTranspEquip;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;Auto_indus;Auto_indus;Auto_indus;Auto_indus
Row;OthEquip;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;NonFerrousMetals;OthEquip;OthEquip;ManufacturedGoods
Row;Electronics;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;NonFerrousMetals;Electronics;Electronics;ManufacturedGoods
Row;Food_industry;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;Food_industry;Food_industry;Food_industry;Food_industry
Row;OthManuf;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;NonFerrousMetals;OthManuf;OthManuf;ManufacturedGoods
Row;LandTransp;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;LandTransp;LandTransp;LandTransp;LandTransp
Row;NavalTransp;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;AirTransp;NavalTransp;NavalTransp;NavalTransp
Row;AirTransp;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;AirTransp;AirTransp;AirTransp;AirTransp
Row;Agri_Forestry;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;AgriForest_Fish;AgriForest_Fish;AgriForest_Fish;AgriForest_Fish
Row;Fishing;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;AgriForest_Fish;AgriForest_Fish;AgriForest_Fish;AgriForest_Fish
Row;Property_business;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;NavalTransp;Property_business;Property_business;Compo
Row;Comp;Commodities;NonEnerSect;NonHybridCommod;-;AllComp;Compo;Compo;Compo;Compo
Row;Labour_income;OthPart_IOT;Value_Added;-;-;-;-;-;-;-
Row;Labour_Tax;OthPart_IOT;Value_Added;-;-;-;-;-;-;-
Row;Capital_income;OthPart_IOT;Value_Added;-;-;-;-;-;-;-
Row;Production_Tax;OthPart_IOT;Value_Added;-;-;-;-;-;-;-
Row;Profit_margin;OthPart_IOT;Value_Added;-;-;-;-;-;-;-
Row;M_value;OthPart_IOT;-;-;-;-;-;-;-;-
Row;Trade_margins;OthPart_IOT;Margins;-;-;-;-;-;-;-
Row;Transp_margins;OthPart_IOT;Margins;-;-;-;-;-;-;-
Row;SpeMarg_Crude_oil;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_Natural_gas;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_Crude_coal;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_Coke;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_Gasoline;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_LPG;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_Jetfuel;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_Road_diesel;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_Heating_oil;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_Other_fuels;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_Electricity;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_HeatGeoSol_Th;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_Steel_Iron;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_NonFerrousMetals;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_Cement;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_OthMin;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_Construction;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_CivilEngineering;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_ChemicalPharma;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_Paper;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_Mining;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_Automobile;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_OthTranspEquip;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_OthEquip;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_Electronics;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_Food_industry;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_OthManuf;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_LandTransp;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_NavalTransp;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_AirTransp;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_Agri_Forestry;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_Fishing;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_Property_business;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_Comp;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-
Row;SpeMarg_C;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-;-;-;-;-
Row;SpeMarg_G;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-;-;-;-;-
Row;SpeMarg_I;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-;-;-;-;-
Row;SpeMarg_X;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-;-;-;-;-
Row;VA_Tax;OthPart_IOT;Taxes;-;-;-;-;-;-;-
Row;Energy_Tax_IC;OthPart_IOT;Taxes;-;-;-;-;-;-;-
Row;Energy_Tax_FC;OthPart_IOT;Taxes;-;-;-;-;-;-;-
Row;ClimPolCompensbySect;OthPart_IOT;Taxes;-;-;-;-;-;-;-
Row;OtherIndirTax;OthPart_IOT;Taxes;-;-;-;-;-;-;-
Column;Crude_oil;Sectors;NonSupplierSect;-;-;-;-;-;-;-
Column;Natural_gas;Sectors;NonSupplierSect;-;-;-;-;-;-;-
Column;Crude_coal;Sectors;-;-;-;-;-;-;-;-
Column;Coke;Sectors;-;-;-;-;-;-;-;-
Column;Gasoline;Sectors;-;-;-;-;-;-;-;-
Column;LPG;Sectors;-;-;-;-;-;-;-;-
Column;Jetfuel;Sectors;-;-;-;-;-;-;-;-
Column;Road_diesel;Sectors;-;-;-;-;-;-;-;-
Column;Heating_oil;Sectors;-;-;-;-;-;-;-;-
Column;Other_fuels;Sectors;-;-;-;-;-;-;-;-
Column;Electricity;Sectors;-;-;-;-;-;-;-;-
Column;HeatGeoSol_Th;Sectors;-;-;-;-;-;-;-;-
Column;Steel_Iron;Sectors;-;-;-;-;-;-;-;-
Column;NonFerrousMetals;Sectors;-;-;-;-;-;-;-;-
Column;Cement;Sectors;-;-;-;-;-;-;-;-
Column;OthMin;Sectors;-;-;-;-;-;-;-;-
Column;Construction;Sectors;-;-;-;-;-;-;-;-
Column;CivilEngineering;Sectors;-;-;-;-;-;-;-;-
Column;ChemicalPharma;Sectors;-;-;-;-;-;-;-;-
Column;Paper;Sectors;-;-;-;-;-;-;-;-
Column;Mining;Sectors;-;-;-;-;-;-;-;-
Column;Automobile;Sectors;-;-;-;-;-;-;-;-
Column;OthTranspEquip;Sectors;-;-;-;-;-;-;-;-
Column;OthEquip;Sectors;-;-;-;-;-;-;-;-
Column;Electronics;Sectors;-;-;-;-;-;-;-;-
Column;Food_industry;Sectors;-;-;-;-;-;-;-;-
Column;OthManuf;Sectors;-;-;-;-;-;-;-;-
Column;LandTransp;Sectors;-;-;-;-;-;-;-;-
Column;NavalTransp;Sectors;-;-;-;-;-;-;-;-
Column;AirTransp;Sectors;-;-;-;-;-;-;-;-
Column;Agri_Forestry;Sectors;-;-;-;-;-;-;-;-
Column;Fishing;Sectors;-;-;-;-;-;-;-;-
Column;Property_business;Sectors;-;-;-;-;-;-;-;-
Column;Comp;Sectors;-;-;-;-;-;-;-;-
Column;C;FC;-;-;-;-;-;-;-;-
Column;G;FC;-;-;-;-;-;-;-;-
Column;I;FC;-;-;-;-;-;-;-;-
Column;X;FC;-;-;-;-;-;-;-;-
