;Crude_oil;Natural_gas;Crude_coal;Coke;Gasoline;LPG;Jetfuel;Road_diesel;Heating_oil;Other_fuels;Electricity;HeatGeoSol_Th;Steel_Iron;NonFerrousMetals;Cement;OthMin;Construction;CivilEngineering;ChemicalPharma;Paper;Mining;Automobile;OthTranspEquip;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;Agri_Forestry;Fishing;Property_business;Comp
Automobile;0.00126253593101246;0.0220977323538805;0.000242031299904184;0.0000172468859789205;0.000258703289683807;0.0000517406579367614;0.0000862344298946024;0.00100031938677739;0.0000689875439156819;0.000241456403704887;0.0619638454167998;0.00613324816352603;0.00611801341424465;0.00708613861386139;0.000784733312040881;0.00525167678058128;0.0377879067950257;0.00584032699609539;0.0138294474608751;0.00184769759150099;0.000877355477483232;0.00574257425742574;0.00415841584158416;0.00331479059539342;0.00102886957707544;0.0108272117534334;0.00731870291951785;0.141296710316193;0.0649964867454487;0.0763002235707442;0.0129996806132226;0.000829766847652507;0.00146917917598211;0.496870009581603
OthTranspEquip;0.00126253593101246;0.0220977323538805;0.000242031299904184;0.0000172468859789205;0.000258703289683807;0.0000517406579367614;0.0000862344298946024;0.00100031938677739;0.0000689875439156819;0.000241456403704887;0.0619638454167998;0.00613324816352603;0.00611801341424465;0.00708613861386139;0.000784733312040881;0.00525167678058128;0.0377879067950257;0.00584032699609539;0.0138294474608751;0.00184769759150099;0.000877355477483232;0.00574257425742574;0.00415841584158416;0.00331479059539342;0.00102886957707544;0.0108272117534334;0.00731870291951785;0.141296710316193;0.0649964867454487;0.0763002235707442;0.0129996806132226;0.000829766847652507;0.00146917917598211;0.496870009581603
OthEquip;0.00299458924552695;0.0411103219319107;0.000644119196207684;0.0000475635643943626;0.000713453465915439;0.000142690693183088;0.000237817821971813;0.00275868673487303;0.00019025425757745;0.000665889901521076;0.115276698641725;0.0114102118015099;0.0162819019041387;0.0188583786889694;0.00248367995147878;0.0166215504445118;0.0349063721985089;0.00539497011550641;0.0388010151149985;0.00556215798287457;0.00208098574689161;0.0115068711793529;0.00833256188849696;0.0112641999091531;0.00428174362108484;0.0367580163759118;0.0236782614703041;0.0416819625556637;0.0191737027756053;0.0225082597800584;0.0922401161955533;0.00588766699120553;0.00761336248862784;0.397889965364787
Electronics;0.00184793174208878;0.0116427259963279;0.000365482233502538;0.00004644130035641;0.00069661950534615;0.00013932390106923;0.00023220650178205;0.00269359542067178;0.00018576520142564;0.00065017820498974;0.0326471541203154;0.00323145048061346;0.00923857868020305;0.0107005076142132;0.000744140835943407;0.00498001944054433;0.0162768502511104;0.00251567593962298;0.0284047953342694;0.00297529876155997;0.00128415595636678;0.00833135327789178;0.00603304892536991;0.00570077900285411;0.00239944780349647;0.0172804838535479;0.011281100417617;0.0489253699103575;0.0225056701587644;0.026419699751593;0.00517766497461929;0.000330489253699104;0.00140403931310077;0.712711955934766
Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthManuf;0.00100492862140641;0.00815396168949435;0.000161850110806992;0.0000128027012014077;0.000192040518021115;0.000038408103604223;0.0000640135060070384;0.000742556669681646;0.0000512108048056307;0.000179237816819708;0.0228643742068678;0.00226314038728823;0.00409121113428786;0.00473861157751583;0.00089417395444698;0.00598408723360671;0.0113562577882866;0.00175517154986418;0.0218669007652924;0.00135578402964298;0.00069834022843496;0.018675898118264;0.0135239262235705;0.018364400903053;0.0156178417905252;0.00968930057913245;0.0113735231389117;0.0222872034208743;0.0102521135736022;0.0120350898472721;0.0160720946700733;0.00102587838319617;0.331596067452761;0.431017598501381
LandTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NavalTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AirTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agri_Forestry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.94;0.06;0;0
Fishing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Property_business;0.00100492862140641;0.00815396168949435;0.000161850110806992;0.0000128027012014077;0.000192040518021115;0.000038408103604223;0.0000640135060070384;0.000742556669681646;0.0000512108048056307;0.000179237816819708;0.0228643742068678;0.00226314038728823;0.00409121113428786;0.00473861157751583;0.00089417395444698;0.00598408723360671;0.0113562577882866;0.00175517154986418;0.0218669007652924;0.00135578402964298;0.00069834022843496;0.018675898118264;0.0135239262235705;0.018364400903053;0.0156178417905252;0.00968930057913245;0.0113735231389117;0.0222872034208743;0.0102521135736022;0.0120350898472721;0.0160720946700733;0.00102587838319617;0.331596067452761;0.431017598501381
Comp;0.00188993193041776;0.00343350981002803;0.000281087333718913;0.000025982115050941;0.000389731725764114;0.0000779463451528229;0.000129910575254705;0.00150696267295458;0.000103928460203764;0.000363749610713173;0.0096278417938337;0.000952974151354718;0.00710526315789474;0.00822961249277039;0.00189242336610758;0.0126646794501046;0.00741398880433995;0.00114587238710019;0.0551586065756106;0.00215709358769318;0.00131334252791743;0.0560311429461227;0.0405742759265026;0.0551713168797276;0.0492376344927865;0.0119144013880856;0.0250974332619754;0.00805712506117364;0.00370627752813988;0.00435084753303377;0.00353801663923121;0.000225830849312631;0.00318547848912221;0.6230457801308
