Aggregation_type;-;-;-;-;-;AGG_SNBC2;AGG_MetMin;AGG_IndEner;AGG_MetMinEn;AGG_Ener1;AGG_Ener2;AGG_4Sec;AGG_3Sec;AGG_EnComp
Row;Cement;Commodities;NonEnerSect;HybridCommod;-;Heavy_Industry;Minerals;Cement;Minerals;Cement;Cement;AllIndus;AllComp;AllComp
Row;OthMin;Commodities;NonEnerSect;NonHybridCommod;-;Heavy_Industry;Minerals;OthMin;Minerals;OthMin;OthMin;AllIndus;AllComp;AllComp
Row;Buildings_constr;Commodities;NonEnerSect;NonHybridCommod;-;Buildings_constr;Buildings_constr;OthIndus;OthIndus;Buildings_constr;Buildings_constr;AllIndus;AllComp;AllComp
Row;Work_constr;Commodities;NonEnerSect;NonHybridCommod;-;Work_constr;Composite;Composite;Composite;Composite;Composite;Composite;AllComp;AllComp
Row;ChemicalPharma;Commodities;NonEnerSect;NonHybridCommod;-;Heavy_Industry;ChemicalPharma;OthIndus;OthIndus;ChemicalPharma;ChemicalPharma;AllIndus;AllComp;AllComp
Row;Paper;Commodities;NonEnerSect;NonHybridCommod;-;Heavy_Industry;Paper;OthIndus;OthIndus;Paper;Paper;AllIndus;AllComp;AllComp
Row;Mining;Commodities;NonEnerSect;NonHybridCommod;-;Heavy_Industry;Mining;OthIndus;OthIndus;Mining;Mining;AllIndus;AllComp;AllComp
Row;Automobile;Commodities;NonEnerSect;HybridCommod;-;Automobile;TranspEquipment;OthIndus;OthIndus;TranspEquipment;TranspEquipment;AllIndus;AllComp;AllComp
Row;OthTranspEquip;Commodities;NonEnerSect;NonHybridCommod;-;OthSectors;TranspEquipment;OthIndus;OthIndus;TranspEquipment;TranspEquipment;AllIndus;AllComp;AllComp
Row;Load_PipeTransp;Commodities;NonEnerSect;HybridCommod;-;Load_PipeTransp;Transport_serv;OthIndus;OthIndus;Transport_serv;Transport_serv;AllIndus;AllComp;AllComp
Row;PassTransp;Commodities;NonEnerSect;HybridCommod;-;PassTransp;Transport_serv;OthIndus;OthIndus;Transport_serv;Transport_serv;AllIndus;AllComp;AllComp
Row;NavalTransp;Commodities;NonEnerSect;HybridCommod;-;OthSectors;Transport_serv;OthIndus;OthIndus;Transport_serv;Transport_serv;AllIndus;AllComp;AllComp
Row;AirTransp;Commodities;NonEnerSect;HybridCommod;-;OthSectors;Transport_serv;OthIndus;OthIndus;Transport_serv;Transport_serv;AllIndus;AllComp;AllComp
Row;Agri_Forestry;Commodities;NonEnerSect;NonHybridCommod;-;Agri_Food_industry;Agri_Forestry;Agriculture;Agriculture;Agriculture;Agriculture;AllIndus;AllComp;AllComp
Row;Fishing;Commodities;NonEnerSect;NonHybridCommod;-;Agri_Food_industry;Fishing;Agriculture;Agriculture;Agriculture;Agriculture;AllIndus;AllComp;AllComp
Row;Food_industry;Commodities;NonEnerSect;NonHybridCommod;-;Agri_Food_industry;Food_industry;OthIndus;OthIndus;Food_industry;Food_industry;AllIndus;AllComp;AllComp
Row;Property_business;Commodities;NonEnerSect;HybridCommod;-;Property_business;Composite;Composite;Composite;Composite;Composite;Composite;AllComp;AllComp
Row;Comp;Commodities;NonEnerSect;NonHybridCommod;-;OthSectors;Composite;Composite;Composite;Composite;Composite;Composite;AllComp;AllComp
Row;Labour_income;OthPart_IOT;Value_Added;-;-;-;-;-;-;-;-;-;-;-
Row;Labour_Tax;OthPart_IOT;Value_Added;-;-;-;-;-;-;-;-;-;-;-
Row;Capital_income;OthPart_IOT;Value_Added;-;-;-;-;-;-;-;-;-;-;-
Row;Production_Tax;OthPart_IOT;Value_Added;-;-;-;-;-;-;-;-;-;-;-
Row;Profit_margin;OthPart_IOT;Value_Added;-;-;-;-;-;-;-;-;-;-;-
Row;M_value;OthPart_IOT;-;-;-;-;-;-;-;-;-;-;-;-
Row;Trade_margins;OthPart_IOT;Margins;-;-;-;-;-;-;-;-;-;-;-
Row;Transp_margins;OthPart_IOT;Margins;-;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Crude_oil;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Natural_gas;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Coking_coal;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Bituminous_coal;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Coke;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Other_coal;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Gasoline;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_LPG;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Jetfuel;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Fuel;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Fuel_oil;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Heavy_fuel_oil;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Other_fuel_prod;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Electricity;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_HeatGeoSol_Th;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Steel_Iron;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_NonFerrousMetals;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Cement;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_OthMin;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Buildings_constr;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Work_constr;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_ChemicalPharma;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Paper;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Mining;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Automobile;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_OthTranspEquip;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Load_PipeTransp;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_PassTransp;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_NavalTransp;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_AirTransp;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Agri_Forestry;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Fishing;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Food_industry;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Property_business;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Comp;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_C;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_G;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_I;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_X;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-;-;-;-;-;-;-;-;-
Row;VA_Tax;OthPart_IOT;Taxes;-;-;-;-;-;-;-;-;-;-;-
Row;Energy_Tax_IC;OthPart_IOT;Taxes;-;-;-;-;-;-;-;-;-;-;-
Row;Energy_Tax_FC;OthPart_IOT;Taxes;-;-;-;-;-;-;-;-;-;-;-
Row;ClimPolCompensbySect;OthPart_IOT;Taxes;-;-;-;-;-;-;-;-;-;-;-
Row;OtherIndirTax;OthPart_IOT;Taxes;-;-;-;-;-;-;-;-;-;-;-
Column;Crude_oil;Sectors;NonSupplierSect;-;-;-;-;-;-;-;-;-;-;-
Column;Natural_gas;Sectors;NonSupplierSect;-;-;-;-;-;-;-;-;-;-;-
Column;Coking_coal;Sectors;NonSupplierSect;-;-;-;-;-;-;-;-;-;-;-
Column;Bituminous_coal;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;Coke;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;Other_coal;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;Gasoline;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;LPG;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;Jetfuel;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;Fuel;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;Fuel_oil;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;Heavy_fuel_oil;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;Other_fuel_prod;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;Electricity;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;HeatGeoSol_Th;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;Steel_Iron;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;NonFerrousMetals;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;Cement;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;OthMin;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;Buildings_constr;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;Work_constr;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;ChemicalPharma;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;Paper;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;Mining;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;Automobile;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;OthTranspEquip;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;Load_PipeTransp;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;PassTransp;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;NavalTransp;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;AirTransp;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;Agri_Forestry;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;Fishing;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;Food_industry;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;Property_business;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;Comp;Sectors;-;-;-;-;-;-;-;-;-;-;-;-
Column;C;FC;-;-;-;-;-;-;-;-;-;-;-;-
Column;G;FC;-;-;-;-;-;-;-;-;-;-;-;-
Column;I;FC;-;-;-;-;-;-;-;-;-;-;-;-
Column;X;FC;-;-;-;-;-;-;-;-;-;-;-;-
