Quantities;Crude_oil;Natural_gas;Coking_coal;Bituminous_coal;Coke;Other_coal;Gasoline;LPG;Jetfuel;Fuel;Fuel_oil;Heavy_fuel_oil;Other_fuel_prod;Electricity;HeatGeoSol_Th;Steel_Iron;NonFerrousMetals;Cement;OthMin;Buildings_constr;Work_constr;ChemicalPharma;Paper;Mining;Automobile;OthTranspEquip;Load_PipeTransp;PassTransp;NavalTransp;AirTransp;Agri_Forestry;Fishing;Food_industry;Property_business;Comp;C;G;I;X;Tot_uses;Y;M
Cement;0;28.7207313501;0;0;0.092047346;1.0558935831;0.6075041975;1.0791147391;0.0648683952;4.8276548975;1.0268667252;0.4995398287;0.7452055191;100.5404065898;2.131905134;162.9182569737;39.3530620709;14706;2406.0035397764;1095.3819173385;6870.0589409497;407.1884593978;77.1993089862;174.1313133111;509.6571301459;98.1400855565;57.9168190979;15.1107423267;5.3791175771;1.506627188;163.4468417486;14.3791259077;165.8906509064;63.6427816539;5301.3035407815;2183;0;0;1311;35970;32899;3071
OthMin;0;34.0383420539;0;0;0.1090898073;1.2513910777;0.7199829079;1.2789116043;0.0768787047;5.7214897043;1.21698993;0.5920290591;0.8831794724;119.1553483797;2.5266249419;193.0823867294;46.6392367001;312.1930440017;1924.8625150602;1298.1906319694;8142.0425305981;482.57893897;91.4926731344;206.3715276789;604.0195674212;116.3106106405;68.6400522011;17.9084790612;6.3750550711;1.7855774962;193.7088383736;17.0414046953;196.605116014;75.4261702039;6282.8338545064;2092.0667089543;0;0;3232.4825982884;25770.2277754126;19397.2955385615;6372.9322368511
Buildings_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1475.3978852389;0;0;0;0;0;0;0;0;0;0;0;0;0;2.8266780866;0;0;0;39029.7510543304;0;40507.975617656;40507.975617656;0
Work_constr;1.4293495582;421.7197523449;0;0;2.7657192835;0.8699399211;45.6786733286;11.1520317508;10.8334407414;105.4292293761;22.3620209829;11.4522903315;8.2941047405;820.6978770349;20.7655621742;105.3614849381;25.4501682849;12.2125103008;88.6651633368;11894.2026415106;16014.2492912318;212.651592756;66.3786279056;78.4847192382;286.2933958374;426.9941969646;71.9259768226;18.765790651;83.4712507399;74.1928100827;285.6684713254;10.2611323726;189.9498318655;4281.7077183664;17728.8981208026;11479.0461985833;0;114269.969363908;0;179188.250449393;179188.250449393;0
ChemicalPharma;0;507.2555323482;0;0;3.5298708951;2.7907586736;23.2968301375;41.3823523854;2.4876008918;185.1329695686;39.3787232569;19.1565664632;28.5774591652;1775.7095683088;37.6529643512;84.461558162;450.14765536;33.2902474454;317.9878595048;163.9901814628;1521.8228637339;17474.7620222703;759.6885825573;95.5313000148;863.4984871289;365.8156789495;30.8722809467;8.0547082814;38.7031280235;16.2418141935;4829.8952530021;267.7599931367;1028.1668458714;27.2323223246;20402.1670253132;22452.7538958284;17093.2987207529;0;54132.3600021682;145124.853622878;83055.52699985;62069.3266230281
Paper;0;5.173205841;0;0;0.1580578573;0.0990748466;1.0431676295;1.8529873029;0.1113878888;8.2897424186;1.7632703312;0.8577780715;1.2796195946;18.1094350378;0.3840008096;2.9984734978;15.9807117473;20.9995931004;200.587744847;50.7670290478;276.45172728;1163.3267539743;2842.5806806863;22.2821630921;100.3338728734;58.9083190497;24.4160072699;6.3702392543;30.6746591861;1.5549697709;132.1152677085;5.1594794498;1426.4749707724;171.6669432198;11717.4984129434;3204.3711933015;0;0;5359.2527513283;26873.8936910306;17650.6164906324;9223.2772003982
Mining;0;0.420958813;0;0;0.0320115992;10.6794825033;0.2112736729;0.3752871755;0.0225594887;1.6789289451;0.357116717;0.1737265599;0.2591625008;1.4736174263;0.0312472633;323.2116560712;1722.5939508056;89.8650077192;858.3889770076;134.9251292887;873.1547633691;880.5557096433;90.5890596046;103.2713132721;27.7518309109;31.7554163156;1.1952683185;0.3118505445;0.8256860412;3.4789920558;87.7327968683;32.2485473034;529.1446231206;0.7104003929;1012.3389220444;35.9429752895;0;0;472.7572590999;7328.4655077517;4757.454001354;2571.0115063978
Automobile;0;0.173246887;0;0;0.0050244466;0.0078731379;0.0331608952;0.0589039729;0.0035408711;0.2635197564;0.0560519911;0.0272676106;0.040677385;0.6064717589;0.0128599068;0.1116381206;0.5949882919;0.144050401;1.3759669032;0.242910766;4.0608703082;1.8232091372;0.4691968124;0.3293627099;350.6112825394;7.1711573958;9.6547017626;2.5189524019;2.0611538777;2.0226124591;6.7040162523;0.0898319947;2.2083721749;0.4835256458;247.798300921;2251.669;0;457.215;1517.2101630086;4867.8588625035;2793.1859074453;2074.6729550582
OthTranspEquip;0;0.2018625418;0;0;0.0033836938;0.0053021338;0.0223320745;0.039668649;0.0023845857;0.177466344;0.037747993;0.0183632652;0.027394025;0.7066443321;0.0149840122;3.316027232;17.6731511479;0.2198914189;2.1003989749;0.5386733921;4.0068156546;2.1978755394;1.2901339333;0;238.6611243055;23700.8757339371;12.0153755985;3.1348621602;580.4373238797;803.6365536006;0;0;7.0927312422;0.6737509609;10592.3995160676;3670.9508534272;109.121838222;4643.0573699826;41171.118667222;85565.7762015491;62767.3242350791;22798.45196647
Load_PipeTransp;0;73.3863894438;0;0;4.0151653993;1.5698254994;26.4997301774;47.071690262;2.8296017971;210.5854621228;44.7925977431;21.7902538415;32.5063518326;256.8979648498;5.4473828857;38.48091457;205.0884905129;49.3552462519;471.4404462356;269.728946123;1198.5674181769;1487.2105073487;239.2907866729;117.7845280494;287.9125641397;159.5301044628;80195.2474794791;20923.2782353133;292.4467776407;410.1436019935;530.8782635897;50.9726420161;1397.5666368512;680.2472112432;210343.159044693;5683.2768804958;24790.9966851825;0;7299.4708518242;357849.46667872;348778.79369104;9070.6729876797
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188237.395803505;0;0;0;188237.395803505;183466.004421444;4771.3913820612
NavalTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6038821137;0.1575553899;797.7736451232;0;0;0;0;0;97.2158676481;264.7429966122;0;0;6899.1137251128;8059.607672;8059.607672;0
AirTransp;0;2.3881644542;0;0;0.109238261;0.0427093259;0.7209626886;1.2806519969;0.0769833242;5.7292757298;1.2186460572;0.5928347153;0.8843813374;8.3600595787;0.1772705576;1.8179883415;9.6891793998;1.6155976707;15.4321606037;7.7366286064;33.5474708275;54.7833198631;5.6439900031;2.2299183899;11.1374962701;19.9623016053;19.3946261031;5.0601397337;21.4593846745;1005.7378405287;3.5781833584;0;37.1859907917;33.2020442738;2394.1717903963;6045.2357507507;3.5101821802;0;6204.546222529;15958.2593849278;12718;3240.2593849278
Agri_Forestry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;270.6197445506;37.9632756915;102.4163429943;0;0;0;0;0;0;0;10933.0648225799;0;26126.3291706753;0;3861.1812592332;21659.0958593312;0;1014.0124758927;10059.2296853695;74063.9126363181;65881.1223260752;8182.7903102429
Fishing;0;1.9373368231;0;0;0;0;0;0;0;0;0;0;0;6.7818827285;0.1438061681;0;0;0;0;3.6518142589;29.550793264;3.5121114129;0;0;0;0;0;0;0;0;3.6428296281;23.3099133213;1053.2189378342;0;170.7512203312;1878.8753070526;0;0;287.3266342687;3462.7025870915;2094.2629239744;1368.4396631172
Food_industry;0;6.5009810943;0;0;0.2115842189;0.3469489744;1.3964367973;2.4805022523;0.1491094454;11.0970672648;2.3604025896;1.1482649854;1.7129633223;22.7574734948;0.48255996;10.5003170842;55.9626558977;3.6764055722;35.1169615217;36.7450781425;206.8574027679;1604.44837431;216.6082772089;73.5210161083;95.7472794362;2.2566642053;13.1198113119;3.423014095;48.8339884035;132.3460365572;4312.2184205125;53.0898083584;19768.6526472341;119.6658958978;25292.7186450363;80301.3363537345;140.4068227628;0;17624.6583150566;150202.554485616;123466.46566384;26736.0888217757
Property_business;0;851.4522286324;0;0;15.1487444034;42.3026365807;250.1969563839;61.0833064584;59.3382798391;577.4701930158;122.4840648998;62.7279204004;45.4295103337;1656.9891084061;41.9256724252;5123.4211681386;1237.5673235799;650.7720546127;4724.729731731;11746.8564756418;5993.6645492328;8816.6442101259;2094.9190809855;965.7393770352;2094.8376404984;5712.2204781821;9929.4892215913;2590.6456086573;3125.9991744299;2576.3740411597;196.053682274;13.2223075762;6168.8189454638;123138.870480023;663191.209442148;2553764.21790473;183264.682069859;85750.129802528;0;3686657.63339198;3686657.63339198;0
Comp;214.9109193516;1996.5942963921;0;3.7475007105;39.3358276083;82.1759620464;218.3739846394;493.1387688964;14.3617676296;2122.6515615332;451.5939731992;218.8240334176;339.6559757295;7789.2041831619;161.0625187309;2088.5545721895;13243.4791383443;681.1094691714;6657.757274183;11314.4278369695;60589.7890372966;27025.4865647672;7314.4954984275;1790.0170838216;34491.230574705;27885.9261790287;17405.4686321663;4541.160161642;8110.0476764352;4989.7221684098;10010.9131962885;581.3312024932;29318.2733298255;41627.2167039836;897835.494507007;510867.593183933;470956.117557166;170065.434618992;214367.120509545;2587903.79794984;2342740.17539462;245163.622555223
ktep_ktons_kVehicle_mtons.km_mPass.km_ ???;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
