;Crude_oil;Natural_gas;Coking_coal;Bituminous_coal;Coke;Other_coal;Gasoline;LPG;Jetfuel;Fuel;Fuel_oil;Heavy_fuel_oil;Other_fuel_prod;Electricity;HeatGeoSol_Th;Steel_Iron;NonFerrousMetals;Cement;OthMin;Buildings_constr;Work_constr;ChemicalPharma;Paper;Mining;Automobile;OthTranspEquip;Load_PipeTransp;PassTransp;NavalTransp;AirTransp;Agri_Forestry;Fishing;Food_industry;Property_business;Comp;C;G;I;X
NonFerrousMetals;0.647702063;0.35810472;0.647702063;0.647702063;0.548544574;0.521395105;0.548544574;0.548544574;0.548544574;0.548544574;0.548544574;0.548544574;0.548544574;0.35810472;0.35810472;0.521395105;0.521395105;0.436746923;0.436746923;0.412611822;0.412611822;0.519727783;0.028613688;0.647702063;0.281785489;0.367810413;0.407384655;0.407384655;0.340776997;0.396562069;0.323215784;0;0.577075453;0.517554918;0.428657021;0.381308445;0;0.250307735;0.125299416
Cement;0.068867456;0.051300245;0.068867456;0.068867456;0.066103202;0.070013713;0.066103202;0.066103202;0.066103202;0.066103202;0.066103202;0.066103202;0.066103202;0.051300245;0.051300245;0.070013713;0.070013713;0.071105389;0.071105389;0.067079617;0.067079617;0.112624104;0.100358967;0.068867456;0.126017257;0.09467146;0.057732219;0.057732219;0.096652256;0.140118389;0.126105352;0.119505418;0.142524796;0.054134823;0.094916457;0.075501482;0;0;0.049101171
OthMin;0.223095637;0.166186781;0.223095637;0.223095637;0.214140856;0.226808931;0.214140856;0.214140856;0.214140856;0.214140856;0.214140856;0.214140856;0.214140856;0.166186781;0.166186781;0.226808931;0.226808931;0.230345405;0.230345405;0.217303946;0.217303946;0.364844991;0.325112165;0.223095637;0.408232016;0.306687526;0.187023116;0.187023116;0.313104301;0.453912532;0.408517397;0.387136959;0.461708072;0.175369377;0.307481193;0.244586517;0;0;0.159062896
Buildings_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Work_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ChemicalPharma;0.900600922;0.752131816;0.900600922;0.900600922;0.972615883;0.923200439;0.972615883;0.972615883;0.972615883;0.972615883;0.972615883;0.972615883;0.972615883;0.752131816;0.752131816;0.923200439;0.923200439;0.853390411;0.853390411;0.841003532;0.841003532;0.814609859;0.873555207;0.900600922;0.845310564;0.758827788;0.718552462;0.718552462;0.630289126;0.73012053;0.807482745;0.718452216;0.811884355;0.782713406;0.799587786;0.313224115;0.561596339;0;0.054808003
Paper;0.516386888;0.458766541;0.516386888;0.516386888;0.532301243;0.533574606;0.532301243;0.532301243;0.532301243;0.532301243;0.532301243;0.532301243;0.532301243;0.458766541;0.458766541;0.533574606;0.533574606;0.485472982;0.485472982;0.454349563;0.454349563;0.454123126;0.560667134;0.516386888;0.472221848;0.371187356;0.503665606;0.503665606;0.46124015;0.246521127;0.233266233;0.234069704;0.391214932;0.394448147;0.425248636;0.244501511;0;0;0.032265338
Mining;0.207957082;0.664633414;0.207957082;0.207957082;0.795308498;0.585772891;0.795308498;0.795308498;0.795308498;0.795308498;0.795308498;0.795308498;0.795308498;0.664633414;0.664633414;0.585772891;0.585772891;0.192472193;0.192472193;0.192866224;0.192866224;0.496191093;0.215070499;0.207957082;0.18846383;0.168040293;0.17945743;0.17945743;0.147819657;0.168293658;0.162211426;0.161218;0.180525358;0.168546789;0.220095611;0.011219475;0;0;0.34752001
Automobile;0.661625047;0.668302189;0.661625047;0.661625047;0.866251387;0.820677686;0.866251387;0.866251387;0.866251387;0.866251387;0.866251387;0.866251387;0.866251387;0.668302189;0.668302189;0.820677686;0.820677686;0.568575432;0.568575432;0.517531259;0.517531259;0.538532548;0.507662838;0.661625047;0.643190807;0.593847141;0.473238599;0.473238599;0.352168151;0.475800554;0.625772558;0.855490277;0.493485608;0.866549824;0.591307821;0.513839243;0;0.829693871;0
OthTranspEquip;0.449263717;0.295635453;0.449263717;0.449263717;0.416889605;0.171329322;0.416889605;0.416889605;0.416889605;0.416889605;0.416889605;0.416889605;0.416889605;0.295635453;0.295635453;0.171329322;0.171329322;0.458144143;0.458144143;0.297329833;0.297329833;0.414001792;0.389153079;0.449263717;0.565614166;0.496875941;0.260300032;0.260300032;0.302950111;0.557127123;0.251936995;0;0.54730115;0.133795108;0.270713055;0.442095258;0.485656478;0.327013057;0.088902837
Load_PipeTransp;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734
PassTransp;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734;0.025347734
NavalTransp;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14;7.99361E-14
AirTransp;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915;0.203045915
Agri_Forestry;0.158438568;0.073476788;0.158438568;0.158438568;0;0;0;0;0;0;0;0;0;0.073476788;0.073476788;0;0;0;0;0.053562504;0.053562504;0.077851788;0.054177383;0.158438568;0;0;0.074614596;0.074614596;0;0;0.075298917;0;0.089127394;0.05509934;0.093336236;0.192434892;0;0.414654099;0
Fishing;0;0.555568399;0;0;0;0;0;0;0;0;0;0;0;0.555568399;0.555568399;0;0;0;0;0.673063826;0.673063826;0.687965437;0;0;0;0;0;0;0;0;0.49984968;0.573303029;0.636665322;0.014199194;0.619715393;0.2893422;0;0;0
Food_industry;0.362616129;0.283748542;0.362616129;0.362616129;0.295047025;0.29615152;0.295047025;0.295047025;0.295047025;0.295047025;0.295047025;0.295047025;0.295047025;0.283748542;0.283748542;0.29615152;0.29615152;0.29755979;0.29755979;0.336331082;0.336331082;0.262516295;0.24339244;0.362616129;0.198415834;0.094865693;0.123023603;0.123023603;0.155575443;0.207556365;0.132564752;0.331811349;0.255545173;0.248661873;0.223533179;0.181200165;0.187179005;0;0
Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Comp;0.240766799;0.120933893;0.240766799;0.240766799;0.146115606;0.162298153;0.146115606;0.146115606;0.146115606;0.146115606;0.146115606;0.146115606;0.146115606;0.120933893;0.120933893;0.162298153;0.162298153;0.135629115;0.135629115;0.204997812;0.204997812;0.132200027;0.222519155;0.240766799;0.316295782;0;0.051514856;0.051514856;0;0;0.178992013;0.157482099;0.106539883;0;0.107839684;0.106673142;0.004008348;0.168594197;0.097075711
