Aggregation_type;-;-;-;-;-;AGG_EnComp
Row;Transp_margins;OthPart_IOT;Margins;-;-;-
Row;SpeMarg_Coal;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Coke;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Crude_Non_transport;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Transport_fuels;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Biomass;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Natural_gas;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Electricity;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Renewable;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Iron_Steel;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Chem_Petrochem;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Aluminium;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Cement;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Construction;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Textile;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Resid_industries;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Agriculture;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Air_transport;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Water_transport;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Road;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Rail;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Housing;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_Other_services;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-
Row;SpeMarg_C;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-
Row;SpeMarg_G;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-
Row;SpeMarg_I;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-
Row;SpeMarg_X;OthPart_IOT;SpeMarg;SpeMarg_FC;-;-
Row;VA_Tax;OthPart_IOT;Taxes;-;-;-
Row;Energy_Tax_IC;OthPart_IOT;Taxes;-;-;-
Row;Energy_Tax_FC;OthPart_IOT;Taxes;-;-;-
Row;ClimPolCompensbySect;OthPart_IOT;Taxes;-;-;-
Row;OtherIndirTax;OthPart_IOT;Taxes;-;-;-
Column;Coal;Sectors;NonSupplierSect;-;-;-
Column;Coke;Sectors;-;-;-;-
Column;Crude_Non_transport;Sectors;NonSupplierSect;-;-;-
Column;Transport_fuels;Sectors;-;-;-;-
Column;Biomass;Sectors;-;-;-;-
Column;Natural_gas;Sectors;NonSupplierSect;-;-;-
Column;Electricity;Sectors;-;-;-;-
Column;Renewable;Sectors;-;-;-;-
Column;Iron_Steel;Sectors;-;-;-;-
Column;Chem_Petrochem;Sectors;-;-;-;-
Column;Aluminium;Sectors;-;-;-;-
Column;Cement;Sectors;-;-;-;-
Column;Construction;Sectors;-;-;-;-
Column;Textile;Sectors;-;-;-;-
Column;Resid_industries;Sectors;-;-;-;-
Column;Agriculture;Sectors;-;-;-;-
Column;Air_transport;Sectors;-;-;-;-
Column;Water_transport;Sectors;-;-;-;-
Column;Road;Sectors;-;-;-;-
Column;Rail;Sectors;-;-;-;-
Column;Housing;Sectors;-;-;-;-
Column;Other_services;Sectors;-;-;-;-
Column;C;FC;-;-;-;-
Column;G;FC;-;-;-;-
Column;I;FC;-;-;-;-
Column;X;FC;-;-;-;-
